participant_id,start_date,mid_date1,mid_date2,end_date
1,2023-12-25,2023-12-26,2023-12-27,2023-12-28
2,2024-01-09,2024-01-10,2024-01-11,2024-01-12
3,2024-02-13,2024-02-14,2024-02-15,2024-02-16
3,2024-02-14,2024-02-15,2024-02-16,2024-02-17
3,2024-02-15,2024-02-16,2024-02-17,2024-02-18
3,2024-02-16,2024-02-17,2024-02-18,2024-02-19
3,2024-02-17,2024-02-18,2024-02-19,2024-02-20
4,2024-03-05,2024-03-06,2024-03-07,2024-03-08
4,2024-03-06,2024-03-07,2024-03-08,2024-03-09
4,2024-03-11,2024-03-12,2024-03-13,2024-03-14
5,2024-03-21,2024-03-22,2024-03-23,2024-03-24
5,2024-03-22,2024-03-23,2024-03-24,2024-03-25
5,2024-03-23,2024-03-24,2024-03-25,2024-03-26
5,2024-03-24,2024-03-25,2024-03-26,2024-03-27
6,2024-04-01,2024-04-02,2024-04-03,2024-04-04
6,2024-04-06,2024-04-07,2024-04-08,2024-04-09
6,2024-04-07,2024-04-08,2024-04-09,2024-04-10
7,2024-04-15,2024-04-16,2024-04-17,2024-04-18
7,2024-04-16,2024-04-17,2024-04-18,2024-04-19
7,2024-04-17,2024-04-18,2024-04-19,2024-04-20
7,2024-04-18,2024-04-19,2024-04-20,2024-04-21
7,2024-04-19,2024-04-20,2024-04-21,2024-04-22
7,2024-04-20,2024-04-21,2024-04-22,2024-04-23
7,2024-04-21,2024-04-22,2024-04-23,2024-04-24
7,2024-04-22,2024-04-23,2024-04-24,2024-04-25
7,2024-04-23,2024-04-24,2024-04-25,2024-04-26
8,2024-05-08,2024-05-09,2024-05-10,2024-05-11
8,2024-05-09,2024-05-10,2024-05-11,2024-05-12
8,2024-05-10,2024-05-11,2024-05-12,2024-05-13
8,2024-05-11,2024-05-12,2024-05-13,2024-05-14
8,2024-05-12,2024-05-13,2024-05-14,2024-05-15
8,2024-05-13,2024-05-14,2024-05-15,2024-05-16
